,age,category_code,country,founded_year,headquarters,lat,lng,name,number_of_employees,Employees_Near,New/Old_Ratio
16,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-118.487267, 34.017606]}",34.017606,-118.487267,Mahalo,40,1197,1.1666666666666667
40,Old,network_hosting,USA,2005,"{'type': 'Point', 'coordinates': [-122.143701, 37.425801]}",37.425801,-122.143701,Box,950,1041,1.0
66,Old,web,USA,2006,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",40.010492,-105.276843,IntenseDebate,4,46,1.0
89,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",40.010492,-105.276843,Filtrbox,14,46,1.0
100,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-118.495025, 34.018275]}",34.018275,-118.495025,Docstoc,40,279,1.75
106,New,games_video,USA,2008,"{'type': 'Point', 'coordinates': [-122.151158, 47.597965]}",47.597965,-122.151158,YouBeQB,8,4408,1.0
122,New,mobile,USA,2010,"{'type': 'Point', 'coordinates': [-111.9035, 33.8171]}",33.8171,-111.9035,GENWI,25,25,1.5
136,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-121.983814, 37.222604]}",37.222604,-121.983814,Houseglue,5,27,1.0
178,Old,games_video,USA,2005,"{'type': 'Point', 'coordinates': [-83.734673, 42.292649]}",42.292649,-83.734673,Zattoo,45,79,3.0
191,Old,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-118.468672, 34.064139]}",34.064139,-118.468672,GotCast,5,28,1.0
205,Old,mobile,USA,2006,"{'type': 'Point', 'coordinates': [-118.472297, 33.999004]}",33.999004,-118.472297,Mogreet,30,206,2.3333333333333335
222,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-118.495981, 34.01052]}",34.01052,-118.495981,Goodreads,70,276,1.5
269,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-85.717393, 38.257035]}",38.257035,-85.717393,First30Days,17,17,1.5
282,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-75.162644, 39.952229]}",39.952229,-75.162644,myfirstpaycheck,4,45,1.0
292,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-122.278487, 37.773545]}",37.773545,-122.278487,TripnTale,3,23,1.0
325,New,mobile,USA,2008,"{'type': 'Point', 'coordinates': [-118.469316, 34.064629]}",34.064629,-118.469316,Jirbo,23,28,1.0
343,Old,games_video,USA,2005,"{'type': 'Point', 'coordinates': [-122.03336, 36.977905]}",36.977905,-122.03336,Recombinant,10,32,1.0
348,Old,web,USA,2006,"{'type': 'Point', 'coordinates': [-79.996384, 40.442796]}",40.442796,-79.996384,QponDirect,10,50,1.0
377,New,games_video,USA,2008,"{'type': 'Point', 'coordinates': [-122.294847, 37.534317]}",37.534317,-122.294847,CineGoGo,2,365,1.0
378,Old,network_hosting,USA,2007,"{'type': 'Point', 'coordinates': [-73.976413, 40.787783]}",40.787783,-73.976413,Unype,1,40,1.0
391,New,network_hosting,USA,2008,"{'type': 'Point', 'coordinates': [-73.96831, 40.794985]}",40.794985,-73.96831,RareShare,2,15,1.0
393,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-75.163808, 39.951639]}",39.951639,-75.163808,Popularo,2,45,1.0
451,Old,mobile,USA,1996,"{'type': 'Point', 'coordinates': [-77.0833301, 38.889602]}",38.889602,-77.0833301,2ergo,100,117,1.0
511,Old,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-118.489681, 34.007967]}",34.007967,-118.489681,Mytopia,29,343,1.0
512,Old,mobile,USA,2003,"{'type': 'Point', 'coordinates': [-122.199525, 47.666791]}",47.666791,-122.199525,GotVoice,12,42,2.0
518,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-118.495981, 34.01052]}",34.01052,-118.495981,Intent,6,276,1.5
523,Old,network_hosting,USA,2006,"{'type': 'Point', 'coordinates': [-117.166941, 32.72038]}",32.72038,-117.166941,Dandelife,6,62,1.5
570,Old,software,USA,2007,"{'type': 'Point', 'coordinates': [-115.242203, 36.180757]}",36.180757,-115.242203,HRSnap! Corporation,20,24,1.0
571,Old,web,USA,2007,"{'type': 'Point', 'coordinates': [-77.043194, 38.901279]}",38.901279,-77.043194,Intridea,37,242,1.0
610,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-83.731129, 42.282255]}",42.282255,-83.731129,skoogO,1,79,3.0
621,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-122.457454, 37.79851]}",37.79851,-122.457454,Cutcaster,8,37,2.0
622,New,games_video,USA,2008,"{'type': 'Point', 'coordinates': [78.434422, 17.415429]}",17.415429,78.434422,YUPPTV,70,70,1.5
633,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-73.980306, 40.66509]}",40.66509,-73.980306,Mad Mimi,35,41,1.0
642,Old,network_hosting,USA,2006,"{'type': 'Point', 'coordinates': [-73.923427, 40.743264]}",40.743264,-73.923427,New York Designs,12,14,1.0
666,New,software,USA,2008,"{'type': 'Point', 'coordinates': [-122.0253784, 36.9751032]}",36.9751032,-122.0253784,UserVoice,22,32,1.0
675,Old,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-118.343791, 34.085749]}",34.085749,-118.343791,Modern Feed,123,158,1.0
680,Old,games_video,USA,2007,"{'type': 'Point', 'coordinates': [-122.030476, 37.35351]}",37.35351,-122.030476,FeedFlix,2,44,3.0
697,Old,software,USA,2006,"{'type': 'Point', 'coordinates': [-78.647003, 35.786975]}",35.786975,-78.647003,KnowledgeTree,33,38,2.0
716,New,games_video,USA,2008,"{'type': 'Point', 'coordinates': [-110.958319, 32.240301]}",32.240301,-110.958319,Rekatu,5,30,1.0
744,Old,mobile,USA,2007,"{'type': 'Point', 'coordinates': [-121.873881, 37.316466]}",37.316466,-121.873881,Koollage,3,27,1.0
751,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-73.963158, 40.798345]}",40.798345,-73.963158,College Mogul,9,512,1.0
754,New,network_hosting,USA,2008,"{'type': 'Point', 'coordinates': [-122.4641, 37.799596]}",37.799596,-122.4641,Chictopia,4,15,2.0
784,Old,software,USA,1997,"{'type': 'Point', 'coordinates': [-122.295701, 37.503055]}",37.503055,-122.295701,Saba,600,601,1.0
804,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-78.643414, 35.779748]}",35.779748,-78.643414,Blazing Bid,1,38,2.0
822,New,web,USA,2008,"{'type': 'Point', 'coordinates': [-79.266246, 36.0966]}",36.0966,-79.266246,Spoonflower,35,35,1.5
848,Old,mobile,USA,2000,"{'type': 'Point', 'coordinates': [-94.581908, 39.103151]}",39.103151,-94.581908,Handmark,60,61,1.0
853,Old,mobile,USA,2005,"{'type': 'Point', 'coordinates': [-84.339506, 33.861093]}",33.861093,-84.339506,FanDriveMedia,10,13,1.0
